Date,Campaign,Platform,Budget,Impressions,Clicks,Conversions,Revenue
2024-01-01,Summer Sale,Facebook,500,45000,1200,45,2250
2024-01-02,New Year Promo,Google,1200,85000,3400,120,6800
2024-01-03,Brand Awareness,Instagram,300,32000,800,12,450
2024-01-04,Summer Sale,Google,600,48000,1500,60,3200
2024-01-05,Retargeting,Facebook,400,28000,950,55,2900
2024-01-06,Influencer Collab,TikTok,800,120000,5600,85,3400
2024-01-07,New Year Promo,Google,1100,78000,3100,110,6200
2024-01-08,Summer Sale,Instagram,450,42000,1100,38,1800
2024-01-09,Retargeting,Google,350,22000,800,42,2100
2024-01-10,Brand Awareness,Facebook,300,30000,750,15,600
2024-01-11,Winter Clearance,Google,900,65000,2200,88,4400
2024-01-12,Winter Clearance,Facebook,400,35000,1100,35,1650
2024-01-13,Loyalty Program,Email,100,15000,2500,150,5000
2024-01-14,Product Launch,YouTube,2000,150000,4500,90,7200
2024-01-15,Retargeting,Instagram,380,26000,880,48,2500
2024-01-16,Summer Sale,Google,650,52000,1700,65,3500
2024-01-17,Influencer Collab,Instagram,700,55000,2800,50,2800
2024-01-18,New Year Promo,FaceBook,1050,72000,2900,105,5900
2024-01-19,Brand Awareness,LinkedIn,500,18000,400,8,1200
2024-01-20,Webinar Signups,LinkedIn,600,22000,600,40,0
2024-01-21,Winter Clearance,Google,850,61000,2000,82,4000
2024-01-22,Podcast Ad,Spotify,1500,90000,1200,25,1800
2024-01-23,Retargeting,Facebook,420,29000,980,58,3100
2024-01-24,Summer Sale,TikTok,500,60000,3500,60,2400
2024-01-25,New Year Promo,Google,1150,81000,3250,115,6500
